respondent_id,timestamp,department,systems_used,efficiency,practices,storage_cost_share_pct,automation_level,budget_deviation_pct,maturity_level,key_metrics
20,2025-10-11 01:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Регулярный аудит неиспользуемых данных,32,частично автоматизировано,-2.1,установленные процессы,Процент автоматизации отчётности
21,2025-10-19 07:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Не применяются,26.6,полностью автоматизировано,26.7,начальный уровень,Retention days / % архивируемых данных
22,2025-10-08 08:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Регулярный аудит неиспользуемых данных,29.3,в основном автоматизировано,9.7,развивающийся,SLA penalties / downtime cost
45,2025-10-14 04:00:00,Разработка / Продукты,Озеро данных (Data Lake),эффективно,Не применяются,24.9,полностью вручную,-2.8,установленные процессы,Cost per GB хранения
23,2025-10-17 08:00:00,Аналитика / Data Science,Другое,эффективно,Регулярный аудит неиспользуемых данных,23.3,частично автоматизировано,12.7,высокий уровень зрелости,Стоимость вычислительного часа (vCPU-hour)
24,2025-10-26 20:00:00,IT / Инфраструктура,Гибридные (облако + локально),максимально эффективно,Автоматическое масштабирование,45.3,частично вручную,-2.2,системный подход,Cost per dataset
25,2025-10-20 06:00:00,Финансы / Контроллинг,Другое,эффективно,Централизация отчётности,34.3,частично автоматизировано,6.6,системный подход,Egress/Network cost per TB
26,2025-10-09 01:00:00,Разработка / Продукты,Локальные (on-premise) решения,эффективно,Не применяются,28.1,частично автоматизировано,13.1,системный подход,Стоимость вычислительного часа (vCPU-hour)
27,2025-10-12 18:00:00,IT / Инфраструктура,Локальные (on-premise) решения,эффективно,Централизация отчётности,35.7,в основном автоматизировано,0.5,высокий уровень зрелости,Egress/Network cost per TB
28,2025-10-08 21:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),скорее неэффективно,Централизация отчётности,39.2,полностью автоматизировано,15.8,начальный уровень,Storage utilization %
29,2025-10-01 05:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Регулярный аудит неиспользуемых данных,46.4,частично вручную,6,системный подход,Egress/Network cost per TB
30,2025-10-02 15:00:00,Разработка / Продукты,Гибридные (облако + локально),эффективно,Регулярный аудит неиспользуемых данных,27.3,полностью автоматизировано,9.1,развивающийся,Стоимость вычислительного часа (vCPU-hour)
31,2025-10-17 12:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Не применяются,6.4,частично автоматизировано,6,начальный уровень,Query cost per user
32,2025-10-12 23:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,23.1,полностью автоматизировано,30.5,высокий уровень зрелости,Query cost per user; Cost target 0.94 ₽/GB
33,2025-10-24 23:00:00,Разработка / Продукты,Озеро данных (Data Lake),эффективно,Контроль вычислительных мощностей,46,полностью вручную,11.9,установленные процессы,Процент автоматизации отчётности
34,2025-10-22 13:00:00,Разработка / Продукты,Гибридные (облако + локально),умеренно,FinOps-подход,44.2,в основном автоматизировано,1.4,развивающийся,Query cost per user
35,2025-10-01 09:00:00,Аналитика / Data Science,Другое,умеренно,Автоматическое масштабирование,35.3,в основном автоматизировано,20.2,установленные процессы,Cost per analytic job
36,2025-10-26 23:00:00,Аналитика / Data Science,Озеро данных (Data Lake),эффективно,Контроль вычислительных мощностей,43.8,частично автоматизировано,-0.2,развивающийся,Стоимость лицензий BI
37,2025-10-02 07:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,FinOps-подход,23.9,в основном автоматизировано,14.1,развивающийся,Retention days / % архивируемых данных
38,2025-10-08 04:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Мониторинг использования ресурсов,23.3,полностью автоматизировано,-7.6,системный подход,Cost per analytic job
39,2025-10-04 14:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Не применяются,30.6,частично вручную,-1.3,установленные процессы,Cost per GB хранения
40,2025-10-18 14:00:00,IT / Инфраструктура,Озеро данных (Data Lake),эффективно,Контроль вычислительных мощностей,25.3,полностью автоматизировано,14,установленные процессы,Процент автоматизации отчётности
41,2025-10-23 09:00:00,Операции / Бизнес-подразделение,Другое,максимально эффективно,Регулярный аудит неиспользуемых данных,29.6,в основном автоматизировано,19.4,установленные процессы,Query cost per user
42,2025-10-14 10:00:00,IT / Инфраструктура,Гибридные (облако + локально),умеренно,Контроль вычислительных мощностей,37.5,частично вручную,13.7,развивающийся,Retention days / % архивируемых данных
43,2025-10-12 09:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),скорее неэффективно,Не применяются,11,в основном автоматизировано,10.8,системный подход,Cost per analytic job
44,2025-10-13 10:00:00,Разработка / Продукты,Озеро данных (Data Lake),умеренно,FinOps-подход,40.4,в основном автоматизировано,9,развивающийся,Cost per analytic job
46,2025-10-14 08:00:00,Операции / Бизнес-подразделение,Локальные (on-premise) решения,скорее неэффективно,Регулярный аудит неиспользуемых данных,31.1,частично автоматизировано,4.8,системный подход,Query cost per user
47,2025-10-07 00:00:00,Операции / Бизнес-подразделение,Озеро данных (Data Lake),неэффективно,Контроль вычислительных мощностей,53.3,полностью вручную,7.4,начальный уровень,Cost per GB хранения
48,2025-10-20 23:00:00,Разработка / Продукты,Локальные (on-premise) решения,скорее неэффективно,FinOps-подход,37.9,полностью автоматизировано,22.6,развивающийся,Storage utilization %
49,2025-10-23 20:00:00,Разработка / Продукты,Локальные (on-premise) решения,максимально эффективно,Мониторинг использования ресурсов,9.8,полностью автоматизировано,15.4,высокий уровень зрелости,Retention days / % архивируемых данных
50,2025-10-14 21:00:00,IT / Инфраструктура,Другое,эффективно,Не применяются,19.1,полностью автоматизировано,-5.6,установленные процессы,Cost per GB хранения
51,2025-10-24 16:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Мониторинг использования ресурсов,40.9,полностью автоматизировано,15.2,системный подход,Egress/Network cost per TB
52,2025-10-03 08:00:00,Другое,Гибридные (облако + локально),эффективно,Контроль вычислительных мощностей,14.9,частично автоматизировано,8.1,установленные процессы,Storage utilization %
53,2025-10-20 22:00:00,Операции / Бизнес-подразделение,Локальные (on-premise) решения,эффективно,Контроль вычислительных мощностей,56.2,частично вручную,5.2,системный подход,Storage utilization %
54,2025-10-16 14:00:00,Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",неэффективно,Автоматическое масштабирование,23.8,в основном автоматизировано,18.1,системный подход,Стоимость лицензий BI
55,2025-10-23 14:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Регулярный аудит неиспользуемых данных,26.9,частично автоматизировано,22.3,установленные процессы,Процент автоматизации отчётности
56,2025-10-24 15:00:00,Аналитика / Data Science,Гибридные (облако + локально),умеренно,FinOps-подход,22,частично вручную,21.3,системный подход,Egress/Network cost per TB
57,2025-10-02 01:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Контроль вычислительных мощностей,7,частично автоматизировано,3.6,установленные процессы,Процент автоматизации отчётности
58,2025-10-11 05:00:00,Финансы / Контроллинг,Другое,максимально эффективно,FinOps-подход,14,частично автоматизировано,8.9,установленные процессы,Стоимость лицензий BI
59,2025-10-03 07:00:00,Другое,Гибридные (облако + локально),максимально эффективно,Регулярный аудит неиспользуемых данных,32.8,в основном автоматизировано,15.3,развивающийся,Cost per dataset
60,2025-10-14 09:00:00,IT / Инфраструктура,Озеро данных (Data Lake),эффективно,Не применяются,32.4,в основном автоматизировано,21.8,высокий уровень зрелости,Query cost per user
61,2025-10-01 13:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,FinOps-подход,43.8,частично автоматизировано,7.2,развивающийся,Процент автоматизации отчётности
62,2025-10-09 20:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Мониторинг использования ресурсов,39.9,в основном автоматизировано,10.1,установленные процессы,SLA penalties / downtime cost
63,2025-10-19 09:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,умеренно,Контроль вычислительных мощностей,30.9,частично вручную,0.9,системный подход,Cost per dataset
64,2025-10-11 19:00:00,Аналитика / Data Science,Озеро данных (Data Lake),эффективно,FinOps-подход,35.6,частично автоматизировано,0,установленные процессы,Cost per dataset; Cost target 0.7 ₽/GB
65,2025-10-06 15:00:00,Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,FinOps-подход,36.7,полностью автоматизировано,20.1,развивающийся,Cost per GB хранения
66,2025-10-11 10:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),максимально эффективно,Автоматическое масштабирование,18.8,частично автоматизировано,25.6,высокий уровень зрелости,Стоимость лицензий BI
67,2025-10-25 12:00:00,Разработка / Продукты,Локальные (on-premise) решения,умеренно,FinOps-подход,15.3,в основном автоматизировано,11.3,начальный уровень,Query cost per user
68,2025-10-25 01:00:00,Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Контроль вычислительных мощностей,30.4,полностью вручную,22,установленные процессы,Стоимость лицензий BI
69,2025-10-01 17:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,Централизация отчётности,15.7,полностью автоматизировано,15.6,развивающийся,Egress/Network cost per TB
70,2025-10-09 13:00:00,Аналитика / Data Science,Локальные (on-premise) решения,максимально эффективно,Мониторинг использования ресурсов,35.9,частично вручную,5.5,установленные процессы,Query cost per user
71,2025-10-26 16:00:00,Операции / Бизнес-подразделение,Озеро данных (Data Lake),умеренно,Контроль вычислительных мощностей,34,в основном автоматизировано,15.6,начальный уровень,Cost per analytic job
72,2025-10-12 10:00:00,Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Централизация отчётности,35.1,в основном автоматизировано,27.4,системный подход,Стоимость лицензий BI
73,2025-10-23 12:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Централизация отчётности,49.2,частично автоматизировано,11.6,установленные процессы,Storage utilization %
74,2025-10-04 14:00:00,Аналитика / Data Science,Другое,эффективно,FinOps-подход,9.5,частично автоматизировано,27.6,установленные процессы,Cost per dataset
75,2025-10-11 21:00:00,IT / Инфраструктура,Озеро данных (Data Lake),неэффективно,Автоматическое масштабирование,17.7,частично автоматизировано,-14.2,установленные процессы,Cost per analytic job
76,2025-10-22 09:00:00,Операции / Бизнес-подразделение,Озеро данных (Data Lake),максимально эффективно,FinOps-подход,37.8,в основном автоматизировано,20.2,начальный уровень,Стоимость вычислительного часа (vCPU-hour)
77,2025-10-10 11:00:00,Другое,Другое,скорее неэффективно,Мониторинг использования ресурсов,31,частично вручную,12.9,начальный уровень,Storage utilization %
78,2025-10-08 15:00:00,Аналитика / Data Science,Локальные (on-premise) решения,умеренно,Регулярный аудит неиспользуемых данных,14.4,в основном автоматизировано,9,начальный уровень,Cost per analytic job
79,2025-10-19 09:00:00,Руководство / Менеджмент,Локальные (on-premise) решения,умеренно,FinOps-подход,74.5,полностью автоматизировано,12.9,развивающийся,Стоимость лицензий BI
80,2025-10-12 18:00:00,Разработка / Продукты,Озеро данных (Data Lake),эффективно,Регулярный аудит неиспользуемых данных,37.7,частично вручную,-7.9,установленные процессы,Retention days / % архивируемых данных
81,2025-10-10 07:00:00,Аналитика / Data Science,Другое,умеренно,Не применяются,25.6,в основном автоматизировано,9.8,начальный уровень,Cost per dataset
82,2025-10-21 20:00:00,Разработка / Продукты,Гибридные (облако + локально),умеренно,Автоматическое масштабирование,23.3,в основном автоматизировано,15.6,системный подход,Egress/Network cost per TB
83,2025-10-12 16:00:00,IT / Инфраструктура,Озеро данных (Data Lake),неэффективно,Централизация отчётности,29.5,в основном автоматизировано,26.8,развивающийся,Процент автоматизации отчётности
84,2025-10-15 02:00:00,Финансы / Контроллинг,Гибридные (облако + локально),эффективно,Централизация отчётности,25.7,полностью автоматизировано,6.8,развивающийся,Storage utilization %
85,2025-10-15 11:00:00,IT / Инфраструктура,Локальные (on-premise) решения,максимально эффективно,FinOps-подход,25.4,в основном автоматизировано,3.9,установленные процессы,Query cost per user
86,2025-10-18 10:00:00,Разработка / Продукты,Другое,умеренно,Регулярный аудит неиспользуемых данных,21,полностью автоматизировано,7,развивающийся,Cost per GB хранения
87,2025-10-04 03:00:00,Руководство / Менеджмент,Локальные (on-premise) решения,эффективно,FinOps-подход,39.8,частично автоматизировано,21.2,высокий уровень зрелости,Query cost per user
88,2025-10-05 13:00:00,IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,Регулярный аудит неиспользуемых данных,10.4,полностью автоматизировано,15.3,установленные процессы,Cost per dataset
89,2025-10-21 11:00:00,Разработка / Продукты,Озеро данных (Data Lake),эффективно,Централизация отчётности,39.4,полностью автоматизировано,6.7,начальный уровень,SLA penalties / downtime cost
90,2025-10-01 01:00:00,IT / Инфраструктура,Гибридные (облако + локально),скорее неэффективно,Мониторинг использования ресурсов,32,полностью автоматизировано,17.1,развивающийся,SLA penalties / downtime cost
91,2025-10-26 19:00:00,Разработка / Продукты,Локальные (on-premise) решения,максимально эффективно,Не применяются,26.5,частично вручную,13,системный подход,Storage utilization %
92,2025-10-26 07:00:00,IT / Инфраструктура,Локальные (on-premise) решения,максимально эффективно,Контроль вычислительных мощностей,28.5,частично вручную,21.7,начальный уровень,Cost per GB хранения
93,2025-10-17 07:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Мониторинг использования ресурсов,37.3,полностью вручную,5,установленные процессы,Cost per dataset
94,2025-10-14 21:00:00,Руководство / Менеджмент,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Не применяются,37.5,частично автоматизировано,8.7,начальный уровень,Стоимость лицензий BI
95,2025-10-20 16:00:00,IT / Инфраструктура,Другое,максимально эффективно,Мониторинг использования ресурсов,37.1,частично вручную,8.1,установленные процессы,Storage utilization %
96,2025-10-07 13:00:00,Аналитика / Data Science,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Мониторинг использования ресурсов,24.8,частично вручную,-2.6,системный подход,Процент автоматизации отчётности
97,2025-10-16 02:00:00,Финансы / Контроллинг,Локальные (on-premise) решения,умеренно,Не применяются,20.1,частично автоматизировано,15,установленные процессы,Egress/Network cost per TB
98,2025-10-22 03:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Мониторинг использования ресурсов,33,частично автоматизировано,14.6,начальный уровень,Процент автоматизации отчётности
99,2025-10-16 07:00:00,Аналитика / Data Science,Другое,максимально эффективно,Регулярный аудит неиспользуемых данных,40.8,в основном автоматизировано,12.1,установленные процессы,Retention days / % архивируемых данных
100,2025-10-20 19:00:00,Операции / Бизнес-подразделение,Гибридные (облако + локально),эффективно,Централизация отчётности,18.2,частично автоматизировано,9.7,установленные процессы,Процент автоматизации отчётности
101,2025-10-05 18:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",неэффективно,FinOps-подход,33.8,в основном автоматизировано,-2.2,установленные процессы,Cost per GB хранения
102,2025-10-12 09:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,FinOps-подход,23.1,полностью вручную,7.8,установленные процессы,Стоимость лицензий BI
103,2025-10-09 06:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Мониторинг использования ресурсов,39.4,полностью вручную,8.6,установленные процессы,Cost per dataset
104,2025-10-20 01:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Мониторинг использования ресурсов,43.9,в основном автоматизировано,4,системный подход,Cost per GB хранения
105,2025-10-08 16:00:00,IT / Инфраструктура,Гибридные (облако + локально),максимально эффективно,Не применяются,35,полностью вручную,10.4,развивающийся,Cost per analytic job
106,2025-10-19 13:00:00,Финансы / Контроллинг,Другое,эффективно,Мониторинг использования ресурсов,35.8,в основном автоматизировано,16,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
107,2025-10-04 07:00:00,Финансы / Контроллинг,Другое,эффективно,Централизация отчётности,31.5,полностью автоматизировано,30.9,системный подход,Storage utilization %
108,2025-10-04 16:00:00,Аналитика / Data Science,Озеро данных (Data Lake),умеренно,Регулярный аудит неиспользуемых данных,31.4,в основном автоматизировано,13.7,системный подход,Стоимость вычислительного часа (vCPU-hour)
109,2025-10-25 20:00:00,Финансы / Контроллинг,Гибридные (облако + локально),умеренно,Не применяются,26.5,частично автоматизировано,14.6,развивающийся,SLA penalties / downtime cost
110,2025-10-21 10:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Регулярный аудит неиспользуемых данных,25.5,полностью автоматизировано,11.3,высокий уровень зрелости,Storage utilization %
111,2025-10-10 02:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,FinOps-подход,27.4,в основном автоматизировано,-7.2,установленные процессы,Cost per GB хранения
112,2025-10-26 18:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Контроль вычислительных мощностей,37.6,в основном автоматизировано,11.7,системный подход,Cost per GB хранения
113,2025-10-02 07:00:00,Разработка / Продукты,Гибридные (облако + локально),эффективно,Контроль вычислительных мощностей,32.1,полностью автоматизировано,12.6,системный подход,Процент автоматизации отчётности
114,2025-10-02 20:00:00,Разработка / Продукты,Озеро данных (Data Lake),умеренно,Контроль вычислительных мощностей,32.9,частично автоматизировано,36.6,установленные процессы,Storage utilization %
115,2025-10-22 04:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Контроль вычислительных мощностей,26.4,в основном автоматизировано,10.1,системный подход,Storage utilization %
116,2025-10-26 10:00:00,Руководство / Менеджмент,Гибридные (облако + локально),максимально эффективно,FinOps-подход,22.6,частично вручную,15,начальный уровень,Процент автоматизации отчётности
117,2025-10-07 10:00:00,Операции / Бизнес-подразделение,Другое,эффективно,FinOps-подход,52.1,в основном автоматизировано,11.7,начальный уровень,Query cost per user
118,2025-10-17 01:00:00,Руководство / Менеджмент,Озеро данных (Data Lake),скорее неэффективно,Автоматическое масштабирование,29.6,частично автоматизировано,0.3,установленные процессы,Процент автоматизации отчётности
119,2025-10-22 23:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,Регулярный аудит неиспользуемых данных,33.6,в основном автоматизировано,23.4,системный подход,Cost per GB хранения
120,2025-10-07 11:00:00,IT / Инфраструктура,Озеро данных (Data Lake),эффективно,Не применяются,35.2,частично автоматизировано,19.5,установленные процессы,Стоимость лицензий BI
121,2025-10-09 01:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",максимально эффективно,Регулярный аудит неиспользуемых данных,32.1,частично автоматизировано,19.9,развивающийся,Cost per dataset
122,2025-10-17 04:00:00,Разработка / Продукты,Гибридные (облако + локально),эффективно,Мониторинг использования ресурсов,12.8,в основном автоматизировано,2.9,начальный уровень,Egress/Network cost per TB
123,2025-10-12 07:00:00,Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Автоматическое масштабирование,38.5,частично автоматизировано,26,установленные процессы,Cost per analytic job
124,2025-10-05 22:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,FinOps-подход,11,частично вручную,-2,высокий уровень зрелости,Стоимость лицензий BI
125,2025-10-04 01:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",неэффективно,Мониторинг использования ресурсов,36.9,полностью автоматизировано,17.9,установленные процессы,Query cost per user
126,2025-10-08 22:00:00,IT / Инфраструктура,Другое,эффективно,Регулярный аудит неиспользуемых данных,30.8,полностью автоматизировано,33.9,установленные процессы,SLA penalties / downtime cost
127,2025-10-26 16:00:00,IT / Инфраструктура,Озеро данных (Data Lake),неэффективно,Централизация отчётности,30.6,полностью вручную,2.1,начальный уровень,Процент автоматизации отчётности
128,2025-10-24 21:00:00,Финансы / Контроллинг,Озеро данных (Data Lake),максимально эффективно,Мониторинг использования ресурсов,40.4,полностью автоматизировано,6.3,начальный уровень,Стоимость вычислительного часа (vCPU-hour)
129,2025-10-26 04:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Централизация отчётности,36.2,в основном автоматизировано,13,системный подход,Стоимость лицензий BI
130,2025-10-18 15:00:00,IT / Инфраструктура,Озеро данных (Data Lake),неэффективно,Автоматическое масштабирование,36.9,частично вручную,7,высокий уровень зрелости,Процент автоматизации отчётности
131,2025-10-13 10:00:00,Аналитика / Data Science,Другое,скорее неэффективно,Централизация отчётности,32,частично автоматизировано,-3.5,установленные процессы,Cost per analytic job
132,2025-10-06 17:00:00,Другое,Озеро данных (Data Lake),эффективно,Централизация отчётности,27.6,в основном автоматизировано,12.7,системный подход,Стоимость вычислительного часа (vCPU-hour)
133,2025-10-14 08:00:00,Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,FinOps-подход,26.9,частично вручную,1.4,установленные процессы,Storage utilization %
134,2025-10-20 21:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,FinOps-подход,40.4,в основном автоматизировано,16.7,развивающийся,Cost per GB хранения
135,2025-10-25 02:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Автоматическое масштабирование,31.7,в основном автоматизировано,2.8,системный подход,Storage utilization %
136,2025-10-18 03:00:00,Финансы / Контроллинг,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,Централизация отчётности,20.6,частично вручную,27.5,системный подход,Стоимость лицензий BI
137,2025-10-23 14:00:00,Аналитика / Data Science,Гибридные (облако + локально),эффективно,Автоматическое масштабирование,38.2,частично автоматизировано,4.2,системный подход,Стоимость лицензий BI
138,2025-10-23 22:00:00,Другое,Другое,максимально эффективно,Централизация отчётности,29.8,в основном автоматизировано,8.8,развивающийся,Query cost per user
139,2025-10-15 17:00:00,Руководство / Менеджмент,Другое,скорее неэффективно,Централизация отчётности,24.9,частично вручную,20.1,начальный уровень,Процент автоматизации отчётности
140,2025-10-11 20:00:00,IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",скорее неэффективно,Регулярный аудит неиспользуемых данных,29.7,в основном автоматизировано,-0.3,системный подход,Cost per dataset
141,2025-10-02 03:00:00,IT / Инфраструктура,Озеро данных (Data Lake),эффективно,Централизация отчётности,43,в основном автоматизировано,14.3,развивающийся,Процент автоматизации отчётности
142,2025-10-09 06:00:00,Финансы / Контроллинг,Гибридные (облако + локально),скорее неэффективно,Централизация отчётности,43.6,частично вручную,25.1,установленные процессы,Query cost per user
143,2025-10-20 10:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",умеренно,FinOps-подход,26,частично вручную,-4.1,развивающийся,SLA penalties / downtime cost
144,2025-10-14 19:00:00,Операции / Бизнес-подразделение,"BI-платформы (DataLens, Power BI, Tableau)",неэффективно,Не применяются,8.3,полностью автоматизировано,13.8,развивающийся,Retention days / % архивируемых данных
145,2025-10-06 14:00:00,Разработка / Продукты,Озеро данных (Data Lake),максимально эффективно,Контроль вычислительных мощностей,23.8,полностью автоматизировано,14.6,развивающийся,Стоимость вычислительного часа (vCPU-hour)
